,Content,Sentiment,content_clean
441,"Kasih bintang 3 dulu Krn blm semua layanan bisa, khususnya pembuatan SIM baru",Netral,kasih bintang krn blm layan buat sim
442,Untuk menghindari calo,Positif,hindar calo
443,Mantap.. 👍👍,Positif,mantap
444,Ini kenapa ya pas mau verifikasi foto kok ga bisa terus,Netral,ya pas verifikasi foto ga
445,Luar biasa mudah,Positif,mudah
446,"Faskes di tiap kelurahan kota makassar belum terdaftar pada applikasi ini, saat ini hanya terdaftar 5 faskes utk kota Makassar pada Rikkes applikasi SIM. Jika sudah terdaftar faskes atau klinik di tiap kelurahan saya akan Applous applikasi ini dengan bintang 5 karena sangat memudahkan masyarakat.Trims",Positif,faskes lurah kota makassar daftar applikasi daftar faskes utk kota makassar rikkes applikasi sim daftar faskes klinik lurah applous applikasi bintang mudah masyarakat trims
447,"User Friendly, mudah, telah T'INTEGRASI tes ksehatn+psikologi+pmbyrnONLINE.!! Ada menu lacak p'panjangn. Testimoni: Bekasi, hr Minggu daftar, isi klngkapn data, ikuti tes online, byr Via ATM, pilih MetroJaya s.d klik submit hnya 3 jam. Hr senin proses p'pnjgn sim C selesai lgs dkirim via Ktr Pos. Kamis sim C ditrima DONE.! Semangat terus ya kpd tim pengembang KRN MEMANG MASIH ADA menu/layanan yg hrs dlengkapi/dTambah/diupdate. Ga mudah tp ga mustahil. Inovasinya MANTAP B'GUNA di masa pandemi.",Positif,user friendly mudah t integrasi tes ksehatn psikologi pmbyrnonline menu lacak p panjangn testimoni bekas hr minggu daftar isi klngkapn data ikut tes online byr via atm pilih metrojaya s d klik submit hnya jam hr senin proses p pnjgn sim c selesai lgs dkirim via ktr pos kamis sim c ditrima done semangat ya kpd tim kembang krn menu layan yg hrs dlengkapi dtambah diupdate ga mudah tp ga mustahil inovasi mantap b guna pandemi
448,Sangat membantu di saat pandemi seperti kondisi sekarang😍😍,Positif,bantu pandemi kondisi
449,Untuk pendaftaran bikin sim baru kenapa tidak bisa ya ?? Terimakasih,Negatif,daftar bikin sim ya terimakasih
450,Saya baca di ig bisa untuk pembuatan sim baru.. Pas instal aplikasinya ternyata pembuatan sim baru masih proses pengembangan.. Padahal harusnya mempermudah sekali saat pandemi seperti ini.. Mohon segera dikembangkan untuk pembuatan sim baru,Negatif,baca ig buat sim pas instal aplikasi buat sim proses kembang mudah pandemi mohon kembang buat sim
451,"Verifikasi KTP gagal terus, padahal sudah mengikuti instruksi dan pake background biru. Mohon bantuannya🙏",Negatif,verifikasi ktp gagal ikut instruksi pake background biru mohon bantu
452,"Puas sekali, walaupun awal awal verivikasi wajah susah sekali .ikuti sesuai instruksi aja,klo untuk tes kesehatan gratis,klo yang psikologi bayar.pengantaran via pos sehari sampai.Mantapppppppppp",Positif,puas verivikasi wajah susah ikut sesuai instruksi ajaklo tes sehat gratisklo psikologi bayar antar via pos hari sampai mantappp
453,Pengembangan sistem masih buruk untuk sekala nasion,Negatif,kembang sistem buruk sekala nasion
454,"Saat mendaftarkan identitas sim C dan sim A saya yang sudah punya kenapa pencarian datanya lama kali loadingnya, pak?? Sampai stengah jam juga pencarian data sim gak ketemu, loading mulu",Negatif,daftar identitas sim c sim a cari data kali loadingnya stengah jam cari data sim gak ketemu loading mulu
455,Kenapa selalu gagal pas mau melengkapi data??,Netral,gagal pas lengkap data
456,"Udh berhasil masukan OTP, tapi kok gk ada tombol login nya ya? 👀",Negatif,udh hasil masuk otp gk tombol login nya ya
457,Verifikssi ktp nya susah sekali :(,Netral,verifikssi ktp nya susah
458,Knapa pas saya mau membuat SIM tidak bisa ya ?,Netral,knapa pas sim ya
459,Sudah bisa masuk...sudah dicoba tes kesehatan tapi Ternyata wilayah satpas pare-kediri JATIM Errikes belum bisa melayani via online...sudah terlanjur bayar tes ePPsi...sayang sekali...😂😂😂 aplikasi perlu diperbaiki ...apalagi soal pengembalian dana....,Negatif,masuk coba tes sehat wilayah satpas pare-kediri jatim errikes layan via online lanjur bayar tes eppsi sayang aplikasi baik kembali dana
460,"Bikin sim baru belum bisa digunakan, malah minta update terus,",Positif,bikin sim update
461,Saran bagi anda yang perpanjangan jika satpasnya tidak muncul terutama POLDA JABAR. anda bisa lanjutkan proses sim dan pilih satpas POLDA METRO JAYA. Opsinya SIM anda akan dikirim via pos dengan pilih POLRESTA DEPOK ATAU METRO JAYA. Saya sudah mencoba dan diproses 2 - 3 hari saja sim sudah sampai alamar rumah,Positif,saran panjang satpasnya muncul polda jabar lanjut proses sim pilih satpas polda metro jaya opsi sim kirim via pos pilih polresta depok metro jaya coba proses sim alamar rumah
462,Saya ko verifikasi KTP selalu gagal ya,Netral,ko verifikasi ktp gagal ya
463,"Saya di jawa tengah,apabila memilih satpas metro jaya apakah bisa,karena sudah di tahapan e tilkes dan psikotes,tinggal memilih satpas saja,mohon jawaban nya yaa,karena 2 hari lagi sim saya expired,urgent banget mohon dibantu",Positif,jawa tengahapabila pilih satpas metro jaya bisakarena tahap e tilkes psikotestinggal pilih satpas sajamohon nya yaakarena sim expiredurgent banget mohon bantu
464,"Log in nya jangan cuma pakai nomer hp donk, pake email juga. Nomor hp saya hangus jadi ga bisa log in",Negatif,log in nya pakai nomer hp donk pake email nomor hp hangus ga log in
465,Saya ingin mendaftar sim ko tidak bisa?,Netral,daftar sim ko
466,Trima kasih dengan kapolri yg telah memberi kesempatan pembuatan sim onlain. Tapi saya sudah perpanjangan tpi belum ad kompirmasi.,Positif,trima kasih kapolri yg sempat buat sim onlain panjang tpi ad kompirmasi
467,Solusi perpanjangan sim tanpa antre dan tanpa keluar rumah di masa pandemi!!! good job.. good service..,Positif,solusi panjang sim antre rumah pandemi good job good service
468,Matulll.... Sangat amat membantu. 30menit selesai. Sim 2 hari samoai rumah.,Positif,matulll bantu menit selesai sim samoai rumah
469,"Jozzz, cpet bgt jadinya Gak perlu antri..",Positif,jozzz cpet bgt gak antri
470,Kalau perpanjang sim yg hilang bisa g?,Positif,panjang sim yg hilang g
471,Apakah bisa kalau erikkes tidak datang ke kliniknya,Positif,erikkes klinik
472,Setelah masukan pin gk masuk ke halaman beranda. Ini bagaimana?,Negatif,masuk pin gk masuk halaman beranda
473,Saya sangat kecewa dengan aplikasi digital korlantas polri untuk perpanjangan sim c di wilayah jawa tengah khususnya daerah cilacap karena di daerah saya masih ada pungli perpanjangan sim dan membuat sim baru jadi adanya digital korlantas polri sangat membantu masyarakat agar terhindar pungli dan bikinnya gampang ehh ternyata dengan pelayanan perpanjangan sim baru dengan Tembak polisi,Netral,kecewa aplikasi digital korlantas polri panjang sim c wilayah jawa daerah cilacap daerah pungli panjang sim sim digital korlantas polri bantu masyarakat hindar pungli bikin gampang ehh layan panjang sim tembak polisi
474,Enggak ada layanan untuk pendaftaran SIM. Terima kasih.,Negatif,layan daftar sim terima kasih
475,Good pisan,Positif,good pis
476,Mantap,Positif,mantap
477,SAYA SUDAH SAMPAI TAHAP TEST PSIKOLOGI LALU GMN LGI YA?? SOALNYA MANDEG DI SITU,Positif,tahap test psikologi gmn lgi ya mandeg situ
478,Layanan ini memudahkan masyarakat untuk melengkapi surat2 kendaraan bermotor,Positif,layan mudah masyarakat lengkap surat kendara motor
479,Sangat membantu,Positif,bantu
480,Yg pembayaran 24500 Uda giliran bayar yg 90rb susah Ini saya lanjut ke pembayaran kok yg muncul batas waktu anda telah berakhir Mulu ya......itu kenapa...tolong dijawab 2)klo di app gak ada notif lanjutan transaksi apa gak ilang duit saya klo hanya tranfer aja ke rekening yg sama Setelah di update baru bener ini aplikasi maju terus buat semakin mudah biar rakyat gak gundah.....👍,Positif,yg bayar uda gilir bayar yg rb susah bayar yg muncul batas mulu ya tolong klo app gak notif lanjut transaksi gak ilang duit klo tranfer aja rekening yg update bener aplikasi maju mudah biar rakyat gak gundah
481,POLiSi-MOBiL,Positif,polisi-mobil
482,Luarbiasa,Positif,luarbiasa
483,Sangat membantu untuk yg perpanjangan sim,Positif,bantu yg panjang sim
484,"SANGAT MEMBANTU MASYARAKAT DI MASA PANDEMI INI SEMUA BISA DILAKUKAN TANPA KELUAR RUMAH, UNTUK MEWAJIBKAN KITA PATUH TERHADAP PROKES YANG ADA. GOOD JOB.. GOOD SERVICE.. TERIMA KASIH INDONESIA KU..",Positif,bantu masyarakat pandemi rumah wajib patuh prokes good job good service terima kasih indonesia ku
485,Sangat Bermanfaat,Positif,manfaat
486,Udah bisa.,Positif,udah
487,"Terima kasih pelayanan SIM Online ini sangat membantu, Saran untuk Foto harap diperhatikan, Kemudian kerjasama dengan ekspedisi lain supaya bisa lebih cepat",Positif,terima kasih layan sim online bantu saran foto harap perhati kerjasama ekspedisi cepat
488,"Salam, Admin Korlantas Polri untuk layanan SIGNAL masih dalam proses pengembangan. Lalu, kapan layanan ini dapat digunakan? Dan apakah ada layanan lain untuk membayar pajak tahunan secara online.? Terimakasih.",Positif,salam admin korlantas polri layan signal proses kembang layan layan bayar pajak tahun online terimakasih
489,"entah kenapa proses nya lama banget, sy sudah bayar. nubggu diproses lama, padahal pengajuan jam 12, tp sampai malam belum selesai",Netral,proses nya banget sy bayar nubggu proses aju jam tp malam selesai
490,"Mau tanya,tes kesehatan harus dateng ke rmh sakit yg di tentukan/ditunjuk?apa gak bisa dilakukan tes online seperti tes psikologis?tes psikologis/kesehatan cukup 1x untuk perpanjang sim A dan sim C ?thx",Positif,tanyates sehat dateng rmh sakit yg tentu gak tes online tes psikologis tes psikologis sehat x panjang sim a sim c thx
491,Memperpanjang sim. mengecek dan mengambil sim atau di kirim ke alamat sesuai dengan ktp. Sangat mudah dan menghemat waktu,Positif,panjang sim ecek ambil sim kirim alamat sesuai ktp mudah hemat
492,"Email di anggap tidak valid padahal sudah di pastikan email masih bisa di gunakan bahkan email masih bisa buat ngetik, komen dan kasih rating disini",Negatif,email anggap valid pasti email email ngetik komen kasih rating
493,Ok,Positif,ok
494,"Mantap sekali aplikasinya, memudahkan saya perpanjangan SIM tanpa harus ke kantor polisi.",Positif,mantap aplikasi mudah panjang sim kantor polisi
495,Mantaap banget,Positif,mantaap banget
496,"Kalo ""batas waktu transaksi sudah berakhir"" harus gimana? Ulang dari awal gak bisa bayar juga gak bisa, padahal ada batas waktu 1x24jam baru 6 jam udah gak bisa",Negatif,kalo batas transaksi gimana ulang gak bayar gak batas xjam jam udah gak
497,"Trimakasih pelayananya ,moga bisa di tingkatkan dan di optimalkan",Positif,trimakasih pelayananya moga tingkat optimal
498,Good,Positif,good
499,sangat memuaskan.. perpanjangan sim sambil rebahan saja di rumah..,Positif,muas panjang sim rebah rumah
