,content,sentiment,content_preprocessed
2111,"Aplikasi tidak dapat di gunakan eror terus saat mau verifikasi KTP, mohon dengan sangat di perbaiki aplikasi ini karena bermanfaat, kalo kaya gini terus saya mending ke birojasa simpel.",Negatif,aplikasi eror verifikasi ktp mohon baik aplikasi manfaat kalo kayak mending birojasa simpel
2112,"Error ketika verifikasi KTP, namun tidak diberitahu kenapa errornya, seharsnya bisa lebih intuitif dan responsif, pilihan menunya sudah banyak namun terasa percuma karena tidak bisa digunakan jika tidak terverifikasi",Negatif,error verifikasi ktp diberitahu errornya seharsnya intuitif responsif pilih menu verifikasi
2113,Aplikasi belum siap digunakan sudah diluncurkan. Bikin kesel pengguna selalu gagal verifikasi,Negatif,aplikasi luncur bikin kesel guna gagal verifikasi
2114,ni aplikasi kenapa ya min? tgl 19 april 2021 kemarin saya sudah perpanjang sim lewat aplikasi ini dan sudah smp tahap mentransfer biaya perpanjangan dan sampai sekarang progresny masih 40% aja tidak berubah.. saya sudah cb email menanyakan hal tersebut tp belum ada tanggapan. mohon pencerahannya soalnya tgl 23 april sudah masa habis sim saya. terima kasih,Negatif,nih aplikasi min tanggal april kemarin panjang sim aplikasi tahap transfer biaya panjang progresny ubah coba email tanggap mohon cerah tanggal april habis sim terima kasih
2115,Kenapa untuk wilayah polda sumatera selatan belum ada,Negatif,wilayah polda sumatera selatan
2116,"Tidak bisa memasukan no tlp, minta perbaharui terus padahal sudah terbaru.",Negatif,pasu no telepon baharu baru
2117,"Maaf saya kasih bintang 2 karna apa!!! kecepatan pembuatan dan pengiriman sudah oke sekali!!!!! Cuma kenapa pas saya periksa alamat nya ngaco padahal waktu isi aplikasi sudah sesuai e-ktp saya kok alamat nya beda sama e ktp, sedih jadinya",Negatif,maaf kasih bintang cepat buat kirim oke pas periksa alamat aco isi aplikasi sesuai e-ktp alamat beda e ktp sedih
2118,"Aplikasi online yg bukanya memudahkan malah menyulitkan, untuk verifikasi e ktp aja sangat ribet. Buat aja sistem upload dokumen ktp nya. Kalau belum siap dilaunching ya gak usah dilaunching.",Negatif,aplikasi online buka mudah sulit verifikasi e ktp ribet sistem upload dokumen ktp dilaunching dilaunching
2119,"Kenapa susah sekali verifikasi wajah sudah 100 kali dicoba nggak bisa.., tolong diperbaiki aplikasinya..",Negatif,susah verifikasi wajah coba tolong baik aplikasi
2120,Kok gagal trus ya dimuka,Negatif,gagal muka
2121,"Aplikasinya belum bisa di gunakan! Saya verifikasi wajah saja gagal terus,,, Tolong di perbaiki dan di kembangkan demi kemudahan dan pelayanan yang terbaik. Terima kasih",Negatif,aplikasi verifikasi wajah gagal tolong baik kembang mudah layan baik terima kasih
2122,"Ini kapan bs apply SIM barunya?? Nunggu kebo berubah jd kodok?? Asli bikin aplikasi cuma di awal aja semangatnya, selanjutnya omong kosong, hampir semua layanan blm berfungsi... Udah bukan rahasia umum sih emang, digaji pake duit rakyat makanya santuy, coba ini aplikasi swasta dijamin optimal dan full service👎👎👎",Negatif,apply sim baru tunggu kebo ubah kodok asli bikin aplikasi semangat omong kosong layan fungsi rahasia sih gaji pakai duit rakyat santuy coba aplikasi swasta jamin optimal full service
2123,Lebih baik jgn dulu dipublish klo aplikasinya masih seperti ini.,Negatif,dipublish kalo aplikasi
2124,"susah sekali saat proses register dengan mamasukan nomor HP, dengan report RPC timeout, mohon di cek lagi supaya tetap bisa di gunakan, apa lagi di masa pendemi seperti ini metode daring seperti ini sangat membantu sekali, Verifikasi KTP dengan Foto Gagal Terus",Negatif,susah proses register mamasukan nomor hp report rpc timeout mohon cek demi metode daring bantu verifikasi ktp foto gagal
2125,Mau verifikasi wajah selalu gagal. Udh bbrp kali dicoba selalu gagal.,Negatif,verifikasi wajah gagal coba gagal
2126,"hadeuh aplikasi apaan kayak gini, kalo belum siap harusnya jgn launching dulu. Daftar tapi kode OTP nya kagak dikirim kirim, giliran sudah dapat OTP bikin passwordnya salah terus, padahal sudah dicoba beberapa kali.",Negatif,aduh aplikasi kayak kalo launching daftar kode otp kagak kirim kirim gilir otp bikin passwordnya salah coba
2127,"Kenapa pada saat pemilihan kewilayahan polda, polda jabar tidak ada ? Erikkes dan ePPsi sudah lolos namun tidak ada opsi untuk Polda Jabar ? Solusinya ?",Negatif,pilih wilayah polda polda jabar erikkes eppsi lolos opsi polda jabar solusi
2128,Kok gak bisa masuk Aplikasi udah di update Msh aja gak bisa masuk,Negatif,masuk aplikasi update masuk
2129,"Nggak bisa diakses pak,, verifikasi gagal trus",Negatif,akses verifikasi gagal
2130,Pilihan POLDA cuma metrojaya sm JATIM. Ngetik polda JATENG cuma muter2 ga jelas. Solusi?,Negatif,pilih polda metrojaya jatim etik polda jateng muter solusi
2131,Susah sekali mendapatkan kode OTP,Negatif,susah kode otp
2132,"Sudah berhasil tes kesehatan, psikotes, tranfer biaya, sudah 3 hari tidak diproses",Negatif,hasil tes sehat psikotes tranfer biaya proses
2133,Yang terhormat bapak bapak polisi terutama IT nya.Kapolri punya ide brilian hanya saja sepertinya IT tidak siap .perlu banyak perbaikan pak. Semoga sukses kedepan nya,Negatif,hormat polisi kapolri ide brilian baik moga sukses depan
2134,gagal trus dalam face recognition,Negatif,gagal face recognition
2135,Kasih lah waktu yg lebih lama pada saaf ferivikasi wajah sebab ada beberapa gerakan yg harus diikuti masak cuma 10 detik biar gak gagal melulu capek tau bolak balik nyoba gagal melulu,Negatif,kasih saaf ferivikasi wajah gera ikut masak detik biar gagal melulu capek tau bolak coba gagal melulu
2136,"Admin mau tanya, saya sudah melakukan pembuatan perpanjangan SIM secara online dan sudah saya bayar dari tgl 19 april 2020, tpi sampai sekarang statusnya masih proses terus ya tidak berubah2, baru 40%, utk jadi sim nya dan pengirimannya berapa lama? Ntar keburu si expired sim lama saya. Mohon infonya min. Soalnya di app nya tidak ad kontak center (CS) utk menanyakan tentang keluhan konsumen.",Negatif,admin buat panjang sim online bayar tanggal april status proses ubah sim kirim entar keburu sih expired sim mohon info min app kontak center cs keluh konsumen
2137,Aplikasi payah udah di upgrade tetap gak bisa yg bikin apk ini amatiran.,Negatif,aplikasi payah upgrade bikin apk amatir
2138,Aplikasinya tidak bisa digunakan sama sekali. Mohon dibenahi lagi. Katanya dengan adanya aplikasi membantu masyarakat ini malah masyarakat dibuat binggung. Haduuhh,Negatif,aplikasi mohon benah aplikasi bantu masyarakat masyarakat binggung haduuhh
2139,"Bgm kita mau ngasih rating bagus, kok gak serius buat apalikasi",Negatif,bgm asih rating bagus serius apalikasi
2140,Aplikasinya belum siap verivikasi wajah gagal terus terlalu cepat instruksinya,Negatif,aplikasi verivikasi wajah gagal cepat instruksi
2141,"Kenapa Polda wilayah jateng ga ada pilihannya , aplikasi gimana ini ,kalo kaya gini keburu SIM saya habis masa berlakunya",Negatif,polda wilayah jateng pilih aplikasi kalo kayak keburu sim habis laku
2142,"Gagal terus di verifikasi e-KTP, apa karena saya jelek?.",Negatif,gagal verifikasi e-ktp jelek
2143,"Sampah yang Dikemas sedemikian rupa . sehingga menjadi bak ""Hampers Kemajuan""",Negatif,sampah kemas rupa bak hampers maju
2144,"Aplikasi sekelas milik polri kyk gini amat ya..., Saya sudah seminggu verifikasi foto gagal terus, padahal sudah mengikuti arahan dlm aplikasi.👎",Negatif,aplikasi kelas milik polri kayak minggu verifikasi foto gagal ikut arah aplikasi
2145,Ini apkilasi kenapa lagi ya? Kemaren kendala Baru masukin nomor handphone udah errorr. Respon yg keluar RPC Time Out. Sekarang pas lengkapi data respon Access denied. Ini niat gak sih bikin aplikasi ginian???? Errorr gak beres2 dari awal launching. Tolong dong yang serius perbaikannya,Negatif,apkilasi kemarin kendala pasuk nomor handphone errorr respon rpc time out pas lengkap data respon access denied niat sih bikin aplikasi errorr beres launching tolong serius baik
2146,"Knp ya sy mau masukan sim A sy gagal terus (jawababbya digitalisasi gagal), tp giliran masukan sim C sy berhasil. Padahal sy sdh masukan no sim dengan benar. Sy coba pakai pindai kartu (sim A) jg sama, tertulisnya sih sim ditemukan, tp ga ada respon kelanjutannya... hadeuh kumaha atuh iyeu teh",Negatif,masuk sim a gagal jawababbya digitalisasi gagal gilir masuk sim sih hasil masuk no sim coba pakai pindai kartu sim a tulis sih sim temu respon lanjut aduh maha atuh iyeu teh
2147,"Aplikasi gak bisa di buka, payaahhhh",Negatif,aplikasi buka payaahhhh
2148,"Udah 3 hari mau masuk kagak bisa2,tadi habis di perbarui apl nya,tapi tetep aja gk bsa masuk 👎",Negatif,masuk kagak habis baru apl masuk
2149,Helehhhh,Negatif,helehhhh
2150,"erikkes dan eppsi tidak bisa register, bagaimana solusinya,",Negatif,erikkes eppsi register solusi
2151,Sulit,Negatif,sulit
2152,"Aplikasi blm bisa , semoga cepet diperbaiki",Negatif,aplikasi moga cepat baik
2153,"1. e-rikkes berkali² coba karena sering muncul keterangan tidak ada dokter (Semarang Kota) 2. Tes psikologi pas tes kecermatan keterangannya waktu habis terus pas di klik selanjutnya. jadinya hasil tes kecermatanku 0 3. Tinggal ngisi data buat perpanjangan, data sudah diisi, hasil test erikkes sama psikologi udah ada, giliran ngisi Polda, gada Polda Jawa Tengah. tetep harus ke satpas keknya",Negatif,e-rikkes kali coba muncul terang dokter semarang kota tes psikologi pas tes cermat terang habis pas klik hasil tes cermat tinggal ngisi data panjang data isi hasil test erikkes psikologi gilir ngisi polda gada polda jawa satpas kayak
2154,Aplikasi jelek sekali malah lebih enak langsung perpanjang ke Kantor langsung dari pada pake aplikasi kayak gini.,Negatif,aplikasi jelek enak langsung panjang kantor langsung pakai aplikasi kayak
2155,"Kalau blom siap buat apa di launching , 💢💢",Negatif,launching
2156,Aduh ini verifikasi wajah ngribetin. Kalah banget sama verifikasi wajah ojol.,Negatif,aduh verifikasi wajah ngribetin kalah banget verifikasi wajah ojol
2157,Payah deplovernya,Negatif,payah deplovernya
2158,"Verifikasi ktp gagal terus,,padahal udah coba berulang kali..",Negatif,verifikasi ktp gagal coba ulang
2159,"Verifikasi KTP sangat susah. Sudah 8 hari berturut saya lakukan tetap tidak berhasil. Jam sibuk dan tidak sibuk tidak berpengaruh, tetap tidak bisa. Bahkan jam 2 dini hari pun tetap invalid. Mohon di perbaiki responsive nya. Dan tetap sama ketika sudah di update.",Negatif,verifikasi ktp susah laku hasil jam sibuk sibuk pengaruh jam invalid mohon baik responsive update
2160,parah bgt..aplikasi sepertinya belum siap pakai.. verifikasi wajah dan menyimpan data sim berulang kali gagal padahal sudah update aplikasinya dan hampir setiap hari dicoba..,Negatif,parah banget aplikasi pakai verifikasi wajah simpan data sim ulang gagal update aplikasi coba
2161,Kenapa ya ko kode verifikasinya kaga pernah muncul muncul,Negatif,kode verifikasi kagak muncul muncul
2162,"Verifikasi face recognition untuk e-ktp gagal terus, mohon segera diperbaiki",Negatif,verifikasi face recognition e-ktp gagal mohon baik
2163,"Mau masukin data NIK,email aja nggak bisa.akses ditolak. Gimana nih maksudnya",Negatif,pasuk data nik email akses tolak nih maksud
2164,"Verifikasi nya susah,suruh ngikutin intruksi,suruh buka mulut,nengok kika,ngedip dan lain2,tapi tetep aja gagal,tolong admin perbaiki lah,harus bagaimana kami menikmati aplikasi karya anak bangsa,udah di perbarui masih gagal teruuuuuussss,gimana ini",Negatif,verifikasi susah suruh ikut intruksi suruh buka mulut tengok kika ngedip gagal tolong admin baik nikmat aplikasi karya anak bangsa baru gagal teruuuuuussss
2165,Ga bisa verify KTP haduhh,Negatif,verify ktp haduhh
2166,Bikin password aj gagal mulu,Negatif,bikin password gagal mulu
2167,Ketika mau buat PIN gagal terus.. padahal nomer hp udah sesuai OTP yang dikirim kenapa ya?? Padahal Baru download ya kog gak bisa mendaftar??. Mohon perbaiki lagi yaa.. terima kasih.,Negatif,pin gagal nomer hp sesuai otp kirim download daftar mohon baik terima kasih
2168,Mempersulit ini namanya,Negatif,sulit nama
2169,"pilihan satpas untuk wilayah jatim hanya polres jombang sedangkan saya madiun , saya coba lanjutin di tolak permohonan saya , mohon umtuk di tambah pilihan satpasnya , terima kasih",Negatif,pilih satpas wilayah jatim polres jombang madiun coba lanjut tolak mohon mohon umtuk pilih satpasnya terima kasih
2170,Gimana ini aplikasinya masukin kata sandi ulang nggak bisa terus,Negatif,aplikasi pasuk sandi ulang
2171,"Gak bisa verifikasi ktp, foto wajah selalu gagal padahal sesuai instruksi 😰",Negatif,verifikasi ktp foto wajah gagal sesuai instruksi
2172,"sementara bintang 1 dulu, coba register mentok di masukkan pin mulu, dicoba berulang-ulang tetep gagal ( eror ) semoga segera ada perbaikan",Negatif,bintang coba register mentok masuk pin mulu coba ulang gagal eror moga baik
2173,Mau masuk aja ribet kalo belum siap janagan bikin aplikasi,Negatif,masuk ribet kalo janagan bikin aplikasi
2174,Mau regis something went wrong to create account terus.. aplikasinya ga pernah bener heran... 😒,Negatif,regis something went wrong create account aplikasi heran
2175,"pak, mohon diperbaiki 🙏",Negatif,mohon baik
2176,Pengen berkata kotor tapi takut di tangkap,Negatif,pengin kotor takut tangkap
2177,"PAYAHH.. Tidak Bisa Buat Akun, Ketika buat PIN dinyatakan Salah terus padahal konfirmasi PIN sudah sesuai 🥴",Negatif,payah akun pin nyata salah konfirmasi pin sesuai 
2178,Proses sudah selesai kira kira berapa hari jadi nya SIM nya saya sudah 3 hari ini ga ada kabar apa apa,Negatif,proses selesai sim kabar
2179,Aplikasi blm siap pakai. Berkali kali buat user password gak bisa trs. Parah,Negatif,aplikasi pakai kali user password parah
2180,"KUMAHA IEU APLIKASI TEH BAPAK/IBU APARAT..?? UDAH KIRIM KODE OTP, UDAH BIKIN PIN.. SURUH LOGIN TAPI GA ADA OPSI LOGINNYA. MLAH BOLAK BALIK MASUKIN NOMOR HP TEROSS SAMPAI NEGARA API MENYERANG.. 🙈👎",Negatif,maha ieu aplikasi teh bapak ibu aparat kirim kode otp bikin pin suruh login opsi loginnya bolak pasuk nomor hp teross negara api serang
2181,Baru mau mau login aja kok gagal terus ya.. 🤔🤔,Negatif,login gagal 
2182,benerin y,Negatif,benerin
2183,"verifikasi masih gagal, ga bsa masuk mohon di perbaiki untuk bug nya",Negatif,verifikasi gagal masuk mohon baik bug
2184,"Apakah urus perpanjang SIM di aplikasi ini masa berlaku SIM hanya 3 bulan, saya kok bukan dapat 5 tahun ya masa berlaku SIM nya, hanya dapat masa berlaku 3 bulan",Negatif,urus panjang sim aplikasi laku sim laku sim laku
2185,Saat mau mencari lokasi satpas susahnya minta ampun dan sampai sekarang belum bisa walaupun sudah mencoba ratusan kali,Negatif,cari lokasi satpas susah ampun coba ratus
2186,"Aplikasi jelek ga bisa daftarnya,susah sudah berkali kali saya daftar tapi gak bisa-bisa🤦🤦🤦",Negatif,aplikasi jelek daftar susah kali daftar bisa
2187,"Kenapa satpas yang tersedia di polda jatim hanya muncul Polres Jombang saja? Padahal untuk tes psikologi dan tes kesehatan sudah ada satpas kota lainnya? Saya berdomisili di Sidoarjo dan permohonan perpanjangan SIM saya ditolak oleh Polres Jombang tanpa alasan. Padahal pilihan yang tersedia hanya polres Jombang saja dan saya terpaksa memilih satpas tersebut karena tidak ada pilihan lain.  Tolong aplikasi nya segera diperbaiki karena masalah ini telah membuang waktu, uang dan paket data.",Negatif,satpas sedia polda jatim muncul polres jombang tes psikologi tes sehat satpas kota domisili sidoarjo mohon panjang sim tolak polres jombang alas pilih sedia polres jombang paksa pilih satpas pilih tolong aplikasi baik buang uang paket data
2188,"Aplikasi tidak dapat berguna atau berjalan dengan baik bahkan sampai 2 menggunakan no HP tetapi kode OTP yang diharapkan untuk masuk tidak didapatkan, mohon kepada tim pengembang untuk memperbaiki sistem sehingga dapat di gunakan oleh masyarakat dengan sempurna'",Negatif,aplikasi guna jalan no hp kode otp harap masuk dapat mohon tim kembang baik sistem masyarakat sempurna
2189,"Aplikasi belum rampung aja dah sok2an di launching, mana banyak banget fitur yg belum tersedia lagi, yg diberitakan beda banget sama kenyataan di aplikasi. 😪😪😪 Niat gak sih bikin aplikasi tuh, selalu aja niatnya bikin ekspetasi gak sesuai💦",Negatif,aplikasi rampung deh sok an launching banget fitur sedia berita beda banget nyata aplikasi niat sih bikin aplikasi tuh niat bikin ekspetasi sesuai
2190,Baru juga ngisi form... Nik udah terdaftar... Haduhhhhh,Negatif,ngisi form nik daftar haduhhhhh
2191,Aplikasi tai,Negatif,aplikasi tahi
2192,Verifikasi ektp hampir 24 jam gagal terus,Negatif,verifikasi ektp jam gagal
2193,"Jujur aja, aplikasi ini sampah...nyesel download trus daftar login.. Kalo emang g siap buat jaman serba canggih serba aplikasi jngan koar2 di media nasional sampe internasional.. Maluuuuuuuuuuuuu gue punya pejabat2 negara( sipil maupun miiter) banyak mulut ga ada bukti...",Negatif,jujur aplikasi sampah sesal download daftar login kalo jaman serba canggih serba aplikasi koar media nasional internasional maluuuuuuuuuuuuu gue jabat negara sipil miiter mulut bukti
2194,"Jangankan untuk daftar, pas pertama verifikasi aja dh sipersulit. Emang g niat ini pemerintahnya asli",Negatif,daftar pas verifikasi dah sipersulit niat perintah asli
2195,Sy SDH sampai cari polda ..tp macet tlg dibantu.sdh bayar test.tgl perpanjangan SDH mepet,Negatif,cari polda macet tolong bantu bayar test tanggal panjang mepet
2196,Gak bisa masuk cuma gambar sja selama lamanya... 😕🥺😕😕,Negatif,masuk gambar 
2197,Alih alih bisa efisiensi waktu.. Ko malah jadi ribet y prosesnya.. Pengin kasih B5 tapi realitanya memang ribet untuk saat ini mudah mudahan kedepan bisa lebih baik lg..,Negatif,alih alih efisiensi ribet proses pengin kasih b realitanya ribet mudah mudah depan
2198,GA NIAT.,Negatif,niat
2199,Aplikasi terjelek se dunia jng di donwload .sumpah jelek jelek auto hapus ......,Negatif,aplikasi jelek dunia donwload sumpah jelek jelek auto hapus
2200,mohon aplikasi nya segera di benerin ...masih banyak bug nya..,Negatif,mohon aplikasi benerin bug
2201,"Kok indonesia bikin aplikasi sim aja disulit2kan sih.. Aneh.knp ga dibikin simpel kan kita byr bukan minta.. Ada2 aja alasannya:baru rilislah,msh adaptasilah,tp kalo urusanya naikin pajak kendaran progresif kok tnp ada kesulitan yah..lsg berlaku serempak tnp basa basi. Kpn indonesia mau bebas dari percaloan apalg urusan Sim.",Negatif,indonesia bikin aplikasi sim sulit sih aneh bikin simpel byr alas rilis adaptasi kalo urusanya naikin pajak kendaran progresif sulit langsung laku serempak basa basi indonesia bebas calo urus sim
2202,Gagal verifikasi ktp trus ...pdhal dah ngikutin sesuai intruksi ny...,Negatif,gagal verifikasi ktp deh ikut sesuai intruksi
2203,Tidak bisa verifikasi ktp,Negatif,verifikasi ktp
2204,Layanan Belum Tersedia bapak-bapak ibu-ibu....,Negatif,layan sedia bapak ibu
2205,"Aplikasi yang buruk, gak bisa diakses. Mohon untuk diperbaiki lebih baik lagi.",Negatif,aplikasi buruk akses mohon baik
2206,"Satpas nya susah di temukan, ini aplikasi keknya belum siap🤣",Negatif,satpas susah temu aplikasi kayak siap
2207,"Ini inovasi yang bagus, tapi sayang seharusnya ini di berikan panduan yang baik dan jelas serta informasi yang lengkap juga, dan saya agak bingung terhadap penggunaan aplikasi ini, harapan saya ini dapat di perbaiki, Terimakasih.",Negatif,inovasi bagus sayang pandu informasi lengkap bingung guna aplikasi harap baik terimakasih
2208,Peningkatan Golongan sim belum tersedia 😔,Negatif,tingkat golong sim sedia
2209,Foto wajah susah padahal sdh Sesuai apa yg dianjurkan... Cahaya baik signal baik dll... Tp ending nya selalu... Waktu habis,Negatif,foto wajah susah sesuai anjur cahaya signal dll ending habis
2210,bukan mempermudah malah mempersulit cok,Negatif,mudah sulit cok
2211,"Terlalu kurang dimengerti dan agak sedikit ribet bagi orang awam .... Saya kira cuma 1 pintu ternyata Tidak, harus instal beberapa aplikasi lagi erikes dan aps psikotes... Maaf cuma 2 Star",Negatif,erti ribet orang awam pintu instal aplikasi erikes aps psikotes maaf star
2212,Tidak bisa verifikasi KTP aneh banget padahal sudah sesuai semua..,Negatif,verifikasi ktp aneh banget sesuai
2213,SULIT,Negatif,sulit
2214,"Mohon dapat diperbaiki kembali, saya sudah aktivasi email dan lain2 ketika aktivasi KTP selalu gagal terus, SIM saya expired bulan mei ini sementara saya tidak bisa melakukan perpanjangan karena pada aplikasi verifikasi KTP saya gagal terus, mohon dapat dibantu. Terima kasih",Negatif,mohon baik aktivasi email aktivasi ktp gagal sim expired mei panjang aplikasi verifikasi ktp gagal mohon bantu terima kasih
2216,"Verifikasi E-Ktp gagal terus, tolong dimaksimalkan lagi fitur-fitunya,. Aplikasi resmi kok kurang user friendly, masih berbelit-belit; tidak ada notifikasi yg spesifik",Negatif,verifikasi e-ktp gagal tolong maksimal fitur-fitunya aplikasi resmi user friendly belit notifikasi spesifik
2217,Aplikasi bikin orang indonesia GILA pada waktu verifikasi e-ktp 😀,Negatif,aplikasi bikin orang indonesia gila verifikasi e-ktp
2218,Udh aja ga usah bikin aneh² deh.....ga kepake juga hahaha,Negatif,bikin aneh deh kepake hahaha
2219,Selamat sore. Mohon informasinya mengenai verifikasi wajah selalu gagal dan gagal terus,Negatif,selamat sore mohon informasi verifikasi wajah gagal gagal
2220,Gak fungsi,Negatif,fungsi
2221,"Aku tidak tau, knp gagal terus dalam Verifikasi E-KTP. Memang sulit klo ngurus sim online banyak uangnya? , canda uang 😅",Negatif,tau gagal verifikasi e-ktp sulit kalo urus sim online uang canda uang
2222,Semua pelayanan tidak tersedia...ini gimana toh aplikasi.,Negatif,layan sedia aplikasi
2223,Sangat tak bermanfaat,Negatif,manfaat
2224,"Banyak failed registrasi. Bukan memudahkan, malah buat susah. #menurutku",Negatif,failed registrasi mudah susah turut
2225,"Besok udah mau abis masa berlaku sim, udh daftar dr tgl 17, stuck di eppsi, gk bisa keluarin no bayar, keterangan incomplete mandatory parameters",Negatif,besok habis laku sim daftar tanggal stuck eppsi keluar no bayar terang incomplete mandatory parameters
2226,"Aplikasi ini sepertinya belum siap launching atau mungkin masih perlu perbaikan lagi. Soalnya mau verifikasi foto ktp susah sekali, padahal sudah sesuai instruksi. Semoga cepat selesai dalam pengembangan aplikasinya, agar masyarakat nyaman dalam menggunakan",Negatif,aplikasi launching baik verifikasi foto ktp susah sesuai instruksi moga cepat selesai kembang aplikasi masyarakat nyaman
2227,Payah masih ngebug... masukin verifikasi gerakan tubuh aja eror mulu 😂 Tolong di benahi lagi sesuai visi juga,Negatif,payah ngebug pasuk verifikasi gera tubuh eror mulu tolong benah sesuai visi
2228,Mensengnyarakan,Negatif,mensengnyarakan
2229,Percuma saya sudah coba.mulai dari tes kesehatan psikolog hingga sudah selesai ujung2 nya di batal kan.mana lagi uang nya tidak di kembalikan full.kecewa banget cuma buang2 uang doang.gak membatu meringan kan malah menambah masalah.,Negatif,coba tes sehat psikolog selesai ujung batal uang kembali full kecewa banget buang uang doang batu mering tambah
2230,Sdh download tp kok sulit dibuka..,Negatif,download sulit buka
2231,Sedih banget menghadapi aplikasi yang seharusnya gak bikin ribet.,Negatif,sedih banget hadap aplikasi bikin ribet
2232,Wkwkwkw komen nya minus ga ada bagus bagus nya Masa aplikasi pelayanan publik kalah sama app pinjol dkk wkekekek,Negatif,wkwkwkw komen minus bagus bagus aplikasi layan publik kalah app pinjol dkk wkekekek
2233,"Sengaja dibikin ribet kayaknya, biar calo juga tidak kehilangan sumber penghasilan.",Negatif,sengaja bikin ribet kayak biar calo hilang sumber hasil
2234,Pencet erikkes sama eppsi kok gak bisa kebuka ya???,Negatif,pencet erikkes eppsi buka
2235,"Pencet erikkes dan eppsi gak bisa dibuka, katanya gak ribet, ternyata ribet juga",Negatif,pencet erikkes eppsi buka ribet ribet
2236,Verif KTP gak bisa2. Tolong diperbaiki.,Negatif,verif ktp tolong baik
2237,Udah verifikasi sesuai arahan tapi masih gagal,Negatif,verifikasi sesuai arah gagal
2238,1 aja dulu Gak bisa di manfaatin Mau daftar perpanjangan Saat upload mau lanjut selalu gagal Nanti bintangnya saya tambah 4 lagi Kalau aplikasinya sudah berguna Terimakasih atas usahanya.,Negatif,manfaatin daftar panjang upload gagal bintang aplikasi guna terimakasih usaha
2239,"Ribet...malah tetap keluar juga dari rumah, mending langsung saja ke gerai sim keliling/gerai di mall...apalagi dimasa masa pandemi seperti ini...",Negatif,ribet rumah mending langsung gerai sim keliling gerai mall masa pandemi
2240,Payah bilang,Negatif,payah bilang
2241,"Kalo aplikasi nya belum 100% , jangan di launching dulu. Sama sekali gak bisa digunakan ini aplikasi. Proses pendaftaran di erikkes nya gagal terus",Negatif,kalo aplikasi launching aplikasi proses daftar erikkes gagal
2242,"Aplikasi kacau, capek mangap2 kaga bisa2",Negatif,aplikasi kacau capek mangap kagak
2243,"Sangat tidak efektif sudah transfer tes psikologi dan kesehatan sudah ceklis ambil sendiri tapi tahapan selanjutnya tidak bisa, datang ke satpas daan mogot loket drive thrue tidak ada petugas, tanya petugas di sana di oper sana sini, tapi tetep tidak ada hasil, sampai saat ini status perpanjangan sim saya tidak ada kejelasan",Negatif,efektif transfer tes psikologi sehat ceklis ambil tahap satpas daan mogot loket drive thrue tugas tugas oper hasil status panjang sim jelas
2244,"Kirain bakal berguna tinggal serahin gitu, ternyata gak diterima di Sukoharjo Jawa Tengah. Dibilangnya itu bukan aplikasi kita. Pdhl tes kesehatan dan psikologi nya udah bayar online dan udah tes juga di aplikasi errikkes dan eppsi sim. Gak guna semuanya.",Negatif,guna tinggal serahin terima sukoharjo jawa bilang aplikasi tes sehat psikologi bayar online tes aplikasi errikkes eppsi sim
2245,"Untuk verifikasi kpt nya gimana sih!!!kok susah mohon untuk penjelasannya,jangan sampai apk ini mempersulit bukan mempermudah.bintang 1 aja cukup untuk apk yang tidak sempurna",Negatif,verifikasi kpt sih susah mohon jelas apk sulit mudah bintang apk sempurna
2246,"Gak apa apa. Aku menunggu sampai aplikasi ini siap 😂. Verifikasi wajah gagal muluuu, sampek pegel kepala gara2 angguk angguk dan noleh2 trus tapi gagal maning 😅",Negatif,tunggu aplikasi verifikasi wajah gagal melulu gel kepala gara angguk angguk noleh gagal maning
2247,Verifikasi wajah error melulu duh dari launchin sampe sekarang ga bs ga guna apalagi baca yg udh coba urus tetap aja ribet..mending seperti biasa aja,Negatif,verifikasi wajah error melulu duh launchin baca coba urus ribet mending
2248,"Susah banget verifikasi eKTP, kepala sampai tengleng dibuatnya untuk verifikasi fotonya, tp masih gagal juga, hadeeh.",Negatif,susah banget verifikasi ektp kepala tengleng verifikasi foto gagal hadeeh
2249,Ga bisa d pakai buat bikin sim baru,Negatif,pakai bikin sim
2250,kenapa tdk bs dibuka katanya Nik sdh terdaftar.. padahal saya mau perpanjangan untuk tgl 15 mei nanti sedangkan tgl tsb bertepatan dgn hari raya.. trus bagaimana saya bs memperpanjang sim saya..,Negatif,buka nik daftar panjang tanggal mei tanggal tepat raya panjang sim
2251,Blm bisa masuk,Negatif,masuk
2252,Kok saya verifikasi KTP gak bisa2 ya ? Kenapa min ?,Negatif,verifikasi ktp min
2253,Tidak bisa verifikasi e ktp.,Negatif,verifikasi e ktp
2254,"Sangat buruk, masih jauh dari sempurna, terutama PERBAIKI verifikasi e ktp, saya sudah menurut semua gerakan, e ktp saya juga gak bermasalah, yg bermasalah di UI UX aplikasi ini. Payah lah, mengecewakan.",Negatif,buruk sempurna baik verifikasi e ktp gera e ktp masalah masalah ui ux aplikasi payah kecewa
2255,"Hanya karena dipaksa istri utk download, tapi dari awal sudah tidak meyakinkan, lihat ratingnya saja sangat buruk dan akhirnya memang benar...benar2 gak ada gunanya. Yang begini mestinya dilaporkan ke pak Kapolri, malu maluin institusi.",Negatif,paksa istri download lihat ratingnya buruk guna mesti lapor kapolri malu maluin institusi
2256,"Susah sangat login🧐,",Negatif,susah login
